x,ell,reference_mp,forward_double,backward_double,abs_error_forward,rel_error_forward,abs_error_backward,rel_error_backward
0.1,0,1.0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.1,1,0.1,1.00000000000000006e-01,-1.98766513205124062e+00,5.55111512312578301e-18,5.55111512312578270e-17,2.08766513205124049e+00,2.08766513205124049e+01
0.1,2,-0.485,-4.84999999999999987e-01,-7.98149769807686149e-01,1.33226762955018780e-17,2.74694356608286164e-17,3.13149769807686162e-01,6.45669628469455970e-01
0.1,3,-0.1475,-1.47500000000000020e-01,1.19208512639954600e+00,1.99840144432528170e-17,1.35484843683069959e-16,1.33958512639954597e+00,9.08193306033590453e+00
0.1,4,0.3379375,3.37937500000000002e-01,8.07227224475685179e-01,1.77635683940025050e-18,5.25646558727649485e-18,4.69289724475685177e-01,1.38868792151118225e+00
0.1,5,0.17882875,1.78828750000000036e-01,-8.08367200714013467e-01,3.62909702289471174e-17,2.02937001063571261e-16,9.87195950714013448e-01,5.52034251044092983e+00
0.1,6,-0.2488293125,-2.48829312499999983e-01,-8.20890007193973537e-01,1.72004632759126264e-17,6.91255507765493884e-17,5.72060694693973582e-01,2.29900846064497921e+00
0.1,7,-0.19949294375,-1.99492943750000040e-01,5.40435170704559154e-01,4.02039290747779914e-17,2.01530582079938802e-16,7.39928114454559194e-01,3.70904404208812588e+00
0.1,8,0.180320721484375,1.80320721484374974e-01,8.19610350801831866e-01,2.60580890198980357e-17,1.44509675900758842e-16,6.39289629317456920e-01,3.54529209984805904e+00
0.1,9,0.2113876418359375,2.11387641835937501e-01,-3.25571529919262137e-01,9.00399754755199001e-19,4.25947206248707066e-18,5.36959171755199582e-01,2.54016349816677200e+00
0.1,10,-0.122124997387109375,-1.22124997387109357e-01,-7.99507906406308533e-01,1.75171294358733561e-17,1.43436068050408308e-16,6.77382909019199175e-01,5.54663601647453319e+00
0.1,11,-0.2154853557156640625,-2.15485355715664073e-01,1.43340790521761186e-01,1.05951835394080257e-17,4.91689261398742983e-17,3.58826146237425259e-01,1.66519968396785800e+00
